filename,score,size,quality
10568-103447.pdf,-19.82314563,5132,1
10568-103447.pdf,4.60008183,10129,4
10568-103447.pdf,-19.82314563,5132,2
10568-103447.pdf,-2.64191741,8069,3
10568-103447.pdf,4.60008183,10129,5
10568-103447.pdf,9.82314140,12257,6
10568-103447.pdf,9.82314140,12257,7
10568-103447.pdf,18.74719765,15907,9
10568-103447.pdf,14.80879083,14090,8
10568-103447.pdf,18.74719765,15907,10
10568-103447.pdf,23.16590804,17620,11
10568-103447.pdf,27.06057219,19266,12
10568-103447.pdf,31.25645134,20844,14
10568-103447.pdf,27.06057219,19266,13
10568-103447.pdf,31.25645134,20844,15
10568-103447.pdf,35.41443769,22285,16
10568-103447.pdf,38.02438056,23664,17
10568-103447.pdf,43.77241435,26556,20
10568-103447.pdf,39.52715819,25070,19
10568-103447.pdf,38.02438056,23664,18
10568-103447.pdf,43.77241435,26556,21
10568-103447.pdf,46.96803364,27987,22
10568-103447.pdf,46.96803364,27987,23
10568-103447.pdf,48.82942314,29366,24
10568-103447.pdf,51.38859093,30851,26
10568-103447.pdf,51.38859093,30851,25
10568-103447.pdf,54.23718298,32308,27
10568-103447.pdf,56.65115708,33953,28
10568-103447.pdf,58.49547980,35363,30
10568-103447.pdf,56.65115708,33953,29
10568-103447.pdf,60.52933749,36841,31
10568-103447.pdf,60.52933749,36841,32
10568-103447.pdf,62.47436731,38991,33
10568-103447.pdf,64.02872497,40524,35
10568-103447.pdf,65.35002046,42186,36
10568-103447.pdf,62.47436731,38991,34
10568-103447.pdf,65.35002046,42186,37
10568-103447.pdf,67.37427200,43692,38
10568-103447.pdf,68.93469253,45189,39
10568-103447.pdf,68.93469253,45189,40
10568-103447.pdf,70.81410708,46636,41
10568-103447.pdf,70.81410708,46636,42
10568-103447.pdf,71.51855050,48160,43
10568-103447.pdf,74.40505784,51449,46
10568-103447.pdf,73.05115295,49857,45
10568-103447.pdf,73.05115295,49857,44
10568-103447.pdf,75.65926609,52952,47
10568-103447.pdf,75.65926609,52952,48
